機種,台番,差枚,G数,出率,BB,RB,合成
A-SLOT+ ディスクアップ ULTRAREMIX,2301,"2,230","6,530",111.4%,30,9,1/167
ファンキージャグラー２ＫＴ,2120,"2,180","6,096",111.9%,31,19,1/122
Lダーリン・イン・ザ・フランキス,3073,"2,150","4,062",117.6%,-,-,-
スマスロ化物語,3047,"2,130","7,692",109.2%,-,-,-
マイジャグラーV,2147,"2,060","7,505",109.1%,33,24,1/132
L少女☆歌劇 レヴュースタァライト -The SLOT-,3061,"2,050","4,379",115.6%,-,-,-
マイジャグラーV,2153,"2,000","7,542",108.8%,33,27,1/126
L ToLOVEるダークネス,3071,"1,950","1,700",138.2%,-,-,-
スマスロ化物語,3046,"1,950","6,716",109.7%,-,-,-
Lスマスロ北斗の拳,2089,"1,920","5,627",111.4%,60,11,1/79
Lスマスロ北斗の拳,2099,"1,870","7,430",108.4%,76,16,1/81
パチスロ　マクロスデルタ,3100,"1,830","9,383",106.5%,-,-,-
Lスマスロ北斗の拳,2084,"1,830","2,873",121.2%,36,5,1/70
Lパチスロ革命機ヴァルヴレイヴ2,3176,"1,830","6,443",109.5%,-,-,-
新ハナビ,2322,"1,810","5,783",110.4%,-,-,-
Lラブ嬢3～Wご指名はいかがですか?～,2024,"1,800","1,850",132.4%,-,-,-
アレックス ブライト,2331,"1,660","4,127",113.4%,-,-,-
ゴーゴージャグラー３,2106,"1,640","4,629",111.8%,22,19,1/113
マイジャグラーV,2152,"1,620","8,470",106.4%,38,24,1/137
ゴーゴージャグラー３,2140,"1,590","7,488",107.1%,32,31,1/119
回胴黙示録カイジ 狂宴,2014,"1,580","2,379",122.1%,-,-,-
吉宗,2062,"1,550","1,885",127.4%,-,-,-
L主役は銭形5,2069,"1,530","6,517",107.8%,-,-,-
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2338,"1,520","4,550",111.1%,-,-,-
ネオアイムジャグラーEX,2114,"1,480","8,262",106%,32,32,1/129
ゴーゴージャグラー３,2107,"1,480","6,263",107.9%,29,23,1/120
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3065,"1,410","3,781",112.4%,-,-,-
スマスロ 東京リベンジャーズ,3151,"1,320","7,350",106%,-,-,-
スマスロ 七つの魔剣が支配する,2008,"1,290","3,449",112.5%,-,-,-
パチスロひぐらしのなく頃に祭２,2326,"1,280","7,107",106%,-,-,-
Lスマスロ北斗の拳,2078,"1,250","4,717",108.8%,50,8,1/81
ハッピージャグラーＶＩＩＩ,2129,"1,250","4,953",108.4%,24,15,1/127
スマスロ スーパーブラックジャック,3145,"1,240","3,188",113%,-,-,-
ファンキージャグラー２ＫＴ,2119,"1,220","6,053",106.7%,27,15,1/144
マイジャグラーV,2171,"1,210","8,173",104.9%,29,36,1/126
新ハナビ,2320,"1,200","9,066",104.4%,-,-,-
Lスマスロ北斗の拳,2097,"1,140","3,543",110.7%,35,7,1/84
マイジャグラーV,2145,"1,130","8,106",104.6%,30,33,1/129
ネオアイムジャグラーEX,2113,"1,120","7,667",104.9%,29,29,1/132
Lスマスロ北斗の拳,2092,"1,120","8,835",104.2%,78,26,1/85
マイジャグラーV,2177,"1,120","6,941",105.4%,31,17,1/145
A-SLOT+ ディスクアップ ULTRAREMIX,2310,"1,100","3,595",110.2%,15,4,1/189
A-SLOT+ ディスクアップ ULTRAREMIX,2303,"1,080","2,802",112.8%,14,4,1/156
回胴黙示録カイジ 狂宴,2015,"1,040","4,563",107.6%,-,-,-
ゴーゴージャグラー３,2141,"1,030","8,802",103.9%,36,34,1/126
ファンキージャグラー２ＫＴ,2128,"1,020","8,352",104.1%,27,39,1/127
ハッピージャグラーＶＩＩＩ,2131,"1,020","5,341",106.4%,27,9,1/148
スマスロ スーパーブラックジャック,3143,980,"5,215",106.3%,-,-,-
スマスロ頭文字D 2nd,2017,940,"4,366",107.2%,-,-,-
マイジャグラーV,2149,920,"9,486",103.2%,32,40,1/132
吉宗,2064,920,"1,106",127.7%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ2,3179,910,"5,176",105.9%,-,-,-
Lマジカルハロウィン8,3040,910,"2,795",110.9%,-,-,-
ファンキージャグラー２ＫＴ,2122,900,"8,345",103.6%,33,28,1/137
スマート沖スロ ドラゴンハナハナ～閃光～,2193,900,"1,065",128.2%,-,-,-
スマスロ コードギアス 反逆のルルーシュ 復活のルルーシュ,3035,840,"4,327",106.5%,-,-,-
スマスロ 一方通行 とある魔術の禁書目録,3013,830,"3,092",108.9%,-,-,-
沖ドキ!ゴージャス 30Φ,2183,830,"1,331",120.8%,-,-,-
スマート沖スロ ドラゴンハナハナ～閃光～,2195,820,"3,729",107.3%,-,-,-
Lスマスロ北斗の拳,2087,770,"1,572",116.3%,18,5,1/68
スマスロ スーパーブラックジャック,3133,750,"4,290",105.8%,-,-,-
スマスロ モンスターハンターライズ,2061,750,"6,784",103.7%,-,-,-
マイジャグラーV,2159,720,"7,917",103%,30,26,1/141
バーサスリヴァイズ,2324,630,"2,671",107.9%,-,-,-
