機種,台番,差枚,G数,出率,BB,RB,合成
ファンキージャグラー２ＫＴ,2105,0,"2,305",100%,9,5,1/165
回胴黙示録カイジ 狂宴,3157,0,0,-,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,3136,0,0,-,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3066,0,0,-,-,-,-
スマスロ モンスターハンターライズ,3077,0,26,-,-,-,-
スマスロ シャーマンキング,3155,0,0,-,-,-,-
スマスロ ギルティクラウン2,3188,0,28,-,-,-,-
SアイムジャグラーＥＸ,2026,0,"1,283",100%,5,3,1/160
Lパチスロ革命機ヴァルヴレイヴ,3065,0,0,-,-,-,-
Lパチスロガールズ＆パンツァー 最終章,3165,0,"1,116",100%,-,-,-
回胴黙示録カイジ 狂宴,3159,0,0,-,-,-,-
スマスロ シャーマンキング,3154,0,0,-,-,-,-
Lスマスロ北斗の拳,3002,0,878,100%,8,2,1/88
Lソードアート・オンライン,3023,0,0,-,-,-,-
Lソードアート・オンライン,3025,0,0,-,-,-,-
Lソードアート・オンライン,3024,0,0,-,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3017,0,0,-,-,-,-
押忍！番長4,3027,0,0,-,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3014,0,63,-,-,-,-
押忍！番長4,3028,0,0,-,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3012,0,54,-,-,-,-
いざ！番長,3035,0,"1,317",100%,-,-,-
Lスマスロ北斗の拳,3009,0,943,100%,8,3,1/86
Lルパン三世 大航海者の秘宝,3046,0,0,-,-,-,-
Lルパン三世 大航海者の秘宝,3048,0,0,-,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3131,-85,"5,797",99.5%,-,-,-
スマスロ 七つの魔剣が支配する,3134,-96,"2,953",98.9%,-,-,-
スマスロモンキーターンV,3112,-96,"2,547",98.7%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3016,-97,202,84%,-,-,-
マイジャグラーV,2098,-98,878,96.3%,4,1,1/176
スマスロ モンスターハンターライズ,3079,-98,"2,468",98.7%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,3143,-98,143,77.2%,-,-,-
キングハナハナ-30,2169,-98,"4,054",99.2%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,2029,-99,59,-,0,0,-
スマスロニューパルサーBT,2034,-100,406,91.8%,-,-,-
Lパチスロ炎炎ノ消防隊,3067,-100,122,72.7%,-,-,-
ゴーゴージャグラー３,2079,-100,"2,530",98.7%,11,6,1/149
SアイムジャグラーＥＸ,2052,-101,"1,705",98%,7,4,1/155
マイジャグラーV,2001,-101,515,93.5%,2,0,1/258
L戦国乙女４　戦乱に閃く炯眼の軍師,3144,-101,136,75.2%,-,-,-
スマスロモンキーターンV,3104,-101,225,85%,-,-,-
SアイムジャグラーＥＸ,2050,-101,"3,326",99%,11,11,1/151
Lスマスロ北斗の拳,3007,-101,261,87.1%,2,1,1/87
スマスロ バイオハザード5,3071,-102,88,-,-,-,-
Lパチスロからくりサーカス,3182,-102,67,-,-,-,-
ゴーゴージャグラー３,2083,-103,"1,198",97.1%,4,2,1/200
スマスロ スーパーブラックジャック,3092,-103,921,96.3%,-,-,-
Lパチスロからくりサーカス,3058,-103,342,90%,-,-,-
L ToLOVEるダークネス,3020,-104,511,93.2%,-,-,-
スマスロ ゴッドイーター リザレクション,3102,-104,232,85.1%,-,-,-
Lパチスロからくりサーカス,3057,-105,195,82.1%,-,-,-
沖ドキ！ＧＯＬＤ-30,2163,-187,"2,332",97.3%,-,-,-
キングハナハナ-30,2167,-190,"6,437",99%,-,-,-
Lパチスロ炎炎ノ消防隊,3069,-190,180,64.8%,-,-,-
マイジャグラーV,2093,-190,920,93.1%,3,1,1/230
Lスマスロ北斗の拳,3005,-190,196,67.7%,1,1,1/98
L咲-Saki-頂上決戦,3139,-191,448,85.8%,-,-,-
スマスロ ギルティクラウン2,3187,-191,117,45.6%,-,-,-
スマスロニューパルサーBT,2033,-191,422,84.9%,-,-,-
ジャグラーガールズSS,2072,-191,"4,476",98.6%,-,-,-
L麻雀物語,3086,-191,520,87.8%,-,-,-
Lスマスロ北斗の拳,3184,-192,386,83.4%,2,1,1/129
沖ドキ！ＧＯＬＤ-30,2161,-192,"2,112",97%,-,-,-
SアイムジャグラーＥＸ,2024,-192,930,93.1%,3,1,1/233
スマスロ モンスターハンターライズ,3075,-192,695,90.8%,-,-,-
マイジャグラーV,2013,-193,"2,154",97%,8,5,1/166
マイジャグラーV,2102,-193,467,86.2%,1,1,1/234
ゴーゴージャグラー３,2086,-194,215,69.9%,0,0,-
ウルトラミラクルジャグラー,2114,-194,"3,882",98.3%,-,-,-
Lスマスロ北斗の拳,3119,-194,682,90.5%,6,2,1/85
吉宗,3031,-196,182,64.1%,-,-,-
ゴーゴージャグラー３,2084,-196,"1,538",95.8%,5,4,1/171
Lスマスロ北斗の拳,3115,-196,266,75.4%,1,1,1/133
Lスマスロ北斗の拳,3118,-196,658,90.1%,5,2,1/94
マイジャグラーV,2120,-196,"5,381",98.8%,16,19,1/154
SアイムジャグラーＥＸ,2066,-196,963,93.2%,3,1,1/241
ゴーゴージャグラー３,2087,-197,"3,154",97.9%,13,6,1/166
バーサスリヴァイズ,2047,-197,"2,198",97%,-,-,-
ファンキージャグラー２ＫＴ,2107,-197,"1,669",96.1%,4,5,1/185
スマスロ シャーマンキング,3156,-198,505,86.9%,-,-,-
マイジャグラーV,2129,-198,252,73.8%,0,0,-
マイジャグラーV,2118,-199,"4,020",98.3%,13,11,1/168
L戦国乙女４　戦乱に閃く炯眼の軍師,3141,-199,160,58.5%,-,-,-
マイジャグラーV,2016,-199,"4,531",98.5%,17,8,1/181
バーサスリヴァイズ,2048,-296,331,70.2%,-,-,-
ミスタージャグラー,2090,-296,"1,276",92.3%,-,-,-
ミスタージャグラー,2091,-296,685,85.6%,-,-,-
マイジャグラーV,2096,-296,874,88.7%,3,0,1/291
L東京喰種,3044,-298,"1,814",94.5%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,3175,-298,856,88.4%,-,-,-
スマスロ スーパーブラックジャック,3093,-298,782,87.3%,-,-,-
新ハナビ,2043,-299,"1,387",92.8%,-,-,-
ハッピージャグラーＶＩＩＩ,2022,-299,"2,349",95.8%,7,7,1/168
パチスロ 転生したら剣でした,3180,-299,541,81.6%,-,-,-
ミスタージャグラー,2092,-300,"3,814",97.4%,-,-,-
