機種,台番,差枚,G数,出率,BB,RB,合成
スマスロモンキーターンV,662,"-1,660","4,199",86.8%,-,-,-
マイジャグラーV,513,"-1,670","4,846",88.5%,15,8,1/211
マイジャグラーV,529,"-1,670","2,936",81%,5,9,1/210
Lスマスロ北斗の拳,728,"-1,700","2,074",72.7%,7,2,1/230
L東京喰種,637,"-1,740","8,346",93.1%,-,-,-
ゴーゴージャグラー３,560,"-1,760","3,926",85.1%,9,10,1/207
Lパチスロ かぐや様は告らせたい,666,"-1,760","4,521",87%,-,-,-
L少女☆歌劇 レヴュースタァライト -The SLOT-,621,"-1,770","4,051",85.4%,-,-,-
Lパチスロ ダンベル何キロ持てる？,770,"-1,790","2,768",78.4%,-,-,-
Lパチスロからくりサーカス,706,"-1,790","1,796",66.8%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,794,"-1,800","2,540",76.4%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,799,"-1,800","8,001",92.5%,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,801,"-1,810","5,890",89.8%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,780,"-1,820","2,210",72.5%,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,775,"-1,840","2,776",77.9%,-,-,-
スマスロモンキーターンV,660,"-1,880","2,454",74.5%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,779,"-2,000","2,036",67.3%,-,-,-
Lスマスロ北斗の拳,810,"-2,070","4,918",86%,27,10,1/133
Lパチスロ かぐや様は告らせたい,678,"-2,070","5,317",87%,-,-,-
A-SLOT+ ディスクアップ ULTRAREMIX,616,"-2,070","3,265",78.9%,7,8,1/218
L東京喰種,639,"-2,080","8,393",91.7%,-,-,-
スマスロ バイオハザード5,764,"-2,160","5,907",87.8%,-,-,-
Lスマスロ北斗の拳,733,"-2,180","5,995",87.9%,36,13,1/122
スマスロ ゴッドイーター リザレクション,715,"-2,180","6,522",88.9%,-,-,-
スマスロ ギルティクラウン2,850,"-2,230","3,663",79.7%,-,-,-
Lルパン三世 大航海者の秘宝,829,"-2,260","4,178",82%,-,-,-
Lルパン三世 大航海者の秘宝,832,"-2,270","1,734",56.4%,-,-,-
Lパチスロ かぐや様は告らせたい,683,"-2,320","3,053",74.7%,-,-,-
